Presidency ,President ,Wikipedia Entry,Took office ,Left office ,Party ,Portrait,Home State,Trivia,Age elected
1,George Washington,http://en.wikipedia.org/wiki/George_Washington,30/04/1789,4/03/1797,Independent ,https://en.wikipedia.org/wiki/George_Washington#/media/File:Gilbert_Stuart_Williamstown_Portrait_of_George_Washington.jpg,Virginia,"Called the ""father of his country""",57
2,John Adams,http://en.wikipedia.org/wiki/John_Adams,4/03/1797,4/03/1801,Federalist ,"https://en.wikipedia.org/wiki/John_Adams#/media/File:Official_Presidential_portrait_of_John_Adams_(by_John_Trumbull,_circa_1792).jpg",Massachusetts,Appointed John Marshall as Chief Justice,61
3,Thomas Jefferson,http://en.wikipedia.org/wiki/Thomas_Jefferson,4/03/1801,4/03/1809,Democratic-Republican ,"https://en.wikipedia.org/wiki/Thomas_Jefferson#/media/File:Official_Presidential_portrait_of_Thomas_Jefferson_(by_Rembrandt_Peale,_1800).jpg",Virginia,Author of the Declaration of Independence,57
4,James Madison,http://en.wikipedia.org/wiki/James_Madison,4/03/1809,4/03/1817,Democratic-Republican ,https://en.wikipedia.org/wiki/James_Madison#/media/File:James_Madison.jpg,Virginia,"Known as the ""Father of the Constitution""",57
5,James Monroe,http://en.wikipedia.org/wiki/James_Monroe,4/03/1817,4/03/1825,Democratic-Republican ,https://en.wikipedia.org/wiki/James_Monroe#/media/File:James_Monroe_White_House_portrait_1819.gif,Virginia,Warned the Europeans not to interfere in the Western Hemisphere by writing the Monroe Doctrine,58
6,John Quincy Adams,http://en.wikipedia.org/wiki/John_Quincy_Adams,4/03/1825,4/03/1829,Democratic-Republican/National Republican ,https://en.wikipedia.org/wiki/John_Quincy_Adams#/media/File:JQA_Photo.tif,Massachusetts,The first son of a President to become President,57
7,Andrew Jackson,http://en.wikipedia.org/wiki/Andrew_Jackson,4/03/1829,4/03/1837,Democratic ,https://en.wikipedia.org/wiki/Andrew_Jackson#/media/File:Andrew_jackson_head.jpg,Tennessee,"Nicknamed ""Old Hickory""",61
8,Martin Van Buren,http://en.wikipedia.org/wiki/Martin_Van_Buren,4/03/1837,4/03/1841,Democratic ,https://en.wikipedia.org/wiki/Martin_Van_Buren#/media/File:Martin_Van_Buren_by_Mathew_Brady_c1855-58.jpg,New York,The only Presidential candidate to run for office without a running mate,54
9,William Henry Harrison,http://en.wikipedia.org/wiki/William_Henry_Harrison,4/03/1841,4/04/1841,Whig,https://en.wikipedia.org/wiki/William_Henry_Harrison#/media/File:William_Henry_Harrison_daguerreotype_edit.jpg,Ohio,"Ran under the slogan ""Tippecanoe and Tyler Too""",68
10,John Tyler,http://en.wikipedia.org/wiki/John_Tyler,4/04/1841,4/03/1845,Whig,https://en.wikipedia.org/wiki/John_Tyler#/media/File:Tyler_Daguerreotype_crop_(restoration).jpg,Virginia,First Vice President to become President following the death of a Chief Executive,51
11,James K. Polk,http://en.wikipedia.org/wiki/James_K._Polk,4/03/1845,4/03/1849,Democratic ,https://en.wikipedia.org/wiki/James_K._Polk#/media/File:James_Polk_restored.jpg,Tennessee,The only Speaker of the House to become President,49
12,Zachary Taylor,http://en.wikipedia.org/wiki/Zachary_Taylor,4/03/1849,9/07/1850,Whig,https://en.wikipedia.org/wiki/Zachary_Taylor#/media/File:Zachary_Taylor_restored_and_cropped.png,Louisiana,"Nicknamed ""Old Rough & Ready""",64
13,Millard Fillmore,http://en.wikipedia.org/wiki/Millard_Fillmore,9/07/1850,4/03/1853,Whig,https://en.wikipedia.org/wiki/Millard_Fillmore#/media/File:Millard_Fillmore-Edit1.jpg,New York,Approved the Compromise of 1850,50
14,Franklin Pierce,http://en.wikipedia.org/wiki/Franklin_Pierce,4/03/1853,4/03/1857,Democratic ,https://en.wikipedia.org/wiki/Franklin_Pierce#/media/File:Mathew_Brady_-_Franklin_Pierce_-_alternate_crop.jpg,New Hampshire,"His wife was called ""The Shadow of the White House""",48
